monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.244818996Z level=info msg="Starting Grafana" version=11.5.2 commit=598e0338d5374d6bc404b02a58094132c5eeceb8 branch=HEAD compiled=2025-02-19T16:07:34Z
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245045982Z level=info msg="Config loaded from" file=/usr/share/grafana/conf/defaults.ini
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245051351Z level=info msg="Config loaded from" file=/etc/grafana/grafana.ini
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245054037Z level=info msg="Config overridden from command line" arg="default.paths.data=/var/lib/grafana"
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.24505606Z level=info msg="Config overridden from command line" arg="default.paths.logs=/var/log/grafana"
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245058043Z level=info msg="Config overridden from command line" arg="default.paths.plugins=/var/lib/grafana/plugins"
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245059972Z level=info msg="Config overridden from command line" arg="default.paths.provisioning=/etc/grafana/provisioning"
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245062058Z level=info msg="Config overridden from command line" arg="default.log.mode=console"
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245064389Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_DATA=/var/lib/grafana"
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245066401Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_LOGS=/var/log/grafana"
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245070688Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PLUGINS=/var/lib/grafana/plugins"
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245073307Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PROVISIONING=/etc/grafana/provisioning"
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245075261Z level=info msg="Config overridden from Environment variable" var="GF_AUTH_ANONYMOUS_ENABLED=true"
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245077293Z level=info msg="Config overridden from Environment variable" var="GF_AUTH_ANONYMOUS_ORG_ROLE=Admin"
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245079208Z level=info msg="Config overridden from Environment variable" var="GF_FEATURE_TOGGLES_ENABLE=alertingSimplifiedRouting,alertingQueryAndExpressionsStepMode"
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245081634Z level=info msg=Target target=[all]
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245117147Z level=info msg="Path Home" path=/usr/share/grafana
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245120237Z level=info msg="Path Data" path=/var/lib/grafana
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245122436Z level=info msg="Path Logs" path=/var/log/grafana
monitoring-grafana-1  | logger=settings t=2025-02-19T16:07:34.245124262Z level=info msg="Path Plugins" path=/var/lib/grafana/plugins
