monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.225136568Z caller=main.go:126 msg="Starting Loki" version="(version=3.4.2, branch=release-3.4.x, revision=4fa045d3)"
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.225168832Z caller=main.go:127 msg="Loading configuration file" filename=/etc/loki/local-config.yaml
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.225941546Z caller=server.go:351 msg="server listening on addresses" http=[::]:3100 grpc=[::]:9095
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.227655104Z caller=table_manager.go:300 index-store=tsdb-2020-10-24 msg="query readiness setup completed" duration=1.063µs distinct_users_len=0 distinct_users=
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.2276797Z caller=shipper.go:165 index-store=tsdb-2020-10-24 msg="starting index shipper in RW mode"
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.227881021Z caller=head_manager.go:308 index-store=tsdb-2020-10-24 component=tsdb-head-manager msg="loaded wals by period" groups=0
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.227901058Z caller=manager.go:86 index-store=tsdb-2020-10-24 component=tsdb-manager msg="loaded leftover local indices" err=null successful=true buckets=0 indices=0 failures=0
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.227912557Z caller=head_manager.go:308 index-store=tsdb-2020-10-24 component=tsdb-head-manager msg="loaded wals by period" groups=0
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.228223312Z caller=table_manager.go:136 index-store=tsdb-2020-10-24 msg="uploading tables"
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.230957829Z caller=mapper.go:47 msg="cleaning up mapped rules directory" path=/loki/rules-temp
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.232629289Z caller=worker.go:130 component=querier msg="Starting querier worker using query-scheduler and scheduler ring for addresses"
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.23446595Z caller=module_service.go:82 msg=starting module=cache-generation-loader
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.234463505Z caller=module_service.go:82 msg=starting module=server
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.234653909Z caller=module_service.go:82 msg=starting module=memberlist-kv
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.234676084Z caller=module_service.go:82 msg=starting module=query-frontend-tripperware
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.234686478Z caller=module_service.go:82 msg=starting module=query-scheduler-ring
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.23476588Z caller=ring.go:316 msg="ring doesn't exist in KV store yet"
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.234820201Z caller=module_service.go:82 msg=starting module=ring
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.23484165Z caller=ring.go:316 msg="ring doesn't exist in KV store yet"
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.234860837Z caller=module_service.go:82 msg=starting module=store
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.23487707Z caller=module_service.go:82 msg=starting module=ingester-querier
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.234905552Z caller=module_service.go:82 msg=starting module=analytics
monitoring-loki-1  | level=info ts=2025-02-19T16:07:34.23492712Z caller=basic_lifecycler.go:299 msg="instance not found in the ring" instance=528571c5bf3b ring=scheduler
